Unnamed: 0,CommitTimes
2298,4.255464892
2343,4.27278091
2391,4.330533592
2662,4.386266616
2659,4.392059843
2673,4.44445213
2651,4.481912899
2668,4.484352741
2665,4.5123092730000005
2161,4.5242967489999995
2388,4.533380978
2426,4.544298765
2653,4.545922718
2133,4.562335503
2927,4.587261117
2724,4.589618065
2402,4.59195594
2762,4.603819011000001
2891,4.609913152
2886,4.612855931
2302,4.617452415
2435,4.620000601
2201,4.642982123
2870,4.648171378
2117,4.68680789
2159,4.689300526999999
2888,4.70263018
2156,4.705130619
2128,4.710561391000001
2655,4.721703018
2851,4.722257249
2709,4.75921027
2112,4.767963989
2923,4.7680938589999995
2419,4.784936373
2245,4.78922456
2990,4.805935322
2800,4.820324695
2671,4.823704963
2744,4.829029533
2138,4.836599928
2860,4.839041541
2582,4.848705703
2966,4.848796859
2930,4.860149378
2911,4.873299503
2887,4.876555155
2661,4.880418663
2973,4.881910969
2429,4.882191527
2929,4.884997722
2769,4.892045509
2137,4.897603441
2155,4.899793412
2594,4.922295534
2475,4.926870768
2516,4.927170338
2154,4.928540798999999
2897,4.936559965
2118,4.944565296
2293,4.945790426
2879,4.946822887
2884,4.9488643130000005
2215,4.955190598
2392,4.958497899
2285,4.96182483
2139,4.967743278
2424,4.970224242
2876,4.973867174
2122,4.983880922
2771,4.984833298
2672,4.990431041
2102,4.994996775
2841,4.995258916
2780,4.996158994
2989,5.001937911000001
2924,5.002269257
2132,5.005957078
2131,5.029360032
2905,5.055596991
2765,5.057930425
2136,5.063460159
2571,5.069294993
2417,5.07097997
2107,5.074724026
2913,5.090331291
2517,5.090659071
2772,5.0931388580000005
2460,5.095396018
2100,5.103636961
2987,5.108700766
2418,5.124516321000001
2595,5.127984957
2752,5.136813148
2881,5.148482342
2108,5.154147885
2875,5.163061254
2401,5.168728561
2361,5.176154073999999
2899,5.177557692
2301,5.178498264
2840,5.190364316
2619,5.195641279
2801,5.197307744
2858,5.202933283
2414,5.206754076
2640,5.207191432
2587,5.210054157
2674,5.215553606
2230,5.221187251
2849,5.222739764
2922,5.229373115
2498,5.231439629
2756,5.23828838
2219,5.2386412689999995
2910,5.2465393339999995
2947,5.250228262
2628,5.273014952
2110,5.280278241
2145,5.286099343
2774,5.289178103999999
2422,5.293969851
2926,5.294552989
2093,5.3009646130000005
2292,5.303084599
2920,5.306252369
2847,5.309878573
2363,5.311908119
2427,5.313787625
2670,5.314468531
2890,5.332323086000001
2965,5.333056474
2134,5.334883442
2794,5.337078919
2979,5.338260994
2123,5.342581169
2779,5.349852601
2917,5.355432819
2839,5.35869238
2207,5.35871827
2125,5.375591965
2061,5.387417646
2581,5.392252034
2179,5.39316499
2226,5.402429033
2986,5.405593685
2452,5.406318122999999
2753,5.413174934
2790,5.413217275
2985,5.413679889
2893,5.415499492
2493,5.417224547000001
2129,5.4343161470000005
2735,5.437187001
2967,5.440318829
2763,5.441181793999999
2586,5.44174976
2743,5.4489448089999994
2515,5.462428544
2491,5.467242487999999
2734,5.4689001589999995
2723,5.4708551420000004
2712,5.471376263
2871,5.482526384
2453,5.486195288999999
2616,5.487124473
2856,5.490989739
2878,5.492160666
2583,5.4966307610000005
2988,5.505036913
2937,5.507010768
2364,5.508835607000001
2101,5.510063571
2764,5.51691121
2921,5.518305292000001
2883,5.52145999
2357,5.536343043
2874,5.5364902129999995
2867,5.5367786489999995
2678,5.5371557010000005
2543,5.5605718689999994
2980,5.61728669
2135,5.624444911
2675,5.625792271
2626,5.625800067999999
2828,5.6300431589999995
2820,5.63400767
2510,5.635385175
2623,5.642419767000001
2861,5.6426518979999996
2977,5.655594742999999
2441,5.664712866
2564,5.66651827
2902,5.679407854
2192,5.687218538
2834,5.688604474
2282,5.699031154
